driverId,week,hours-logged,miles-logged
88,19,69,1900
17,7,54,0
28,10,64,3600
94,7,53,200
102,29,77,3700
49,8,53,2500
33,13,75,3200
52,41,57,1800
103,52,66,0
80,4,69,1600
25,33,50,0
100,31,60,1500
10,37,73,1600
71,39,74,3100
35,41,70,2000
79,7,72,4000
100,38,59,2200
42,47,56,2500
33,3,78,2400
45,42,63,100
26,40,56,2500
107,10,55,4000
36,28,77,2300
83,41,78,2700
87,14,59,2200
22,35,75,1300
80,18,59,900
108,1,76,2300
99,26,71,0
60,51,56,2700
93,23,65,2500
45,3,70,2200
33,25,78,2500
46,49,71,3100
83,6,51,2100
96,12,63,1100
45,14,69,1000
38,10,52,2200
86,41,70,4000
21,41,51,200
31,22,70,2400
23,28,79,2800
28,45,65,2900
95,3,74,3200
99,36,72,3000
64,8,54,2100
17,25,80,900
39,49,77,700
19,47,79,2100
41,4,51,1100
34,7,60,300
26,14,56,2300
14,4,69,100
84,23,70,400
30,48,53,1700
82,15,59,2700
23,43,51,900
41,41,58,2200
70,30,60,200
37,8,80,1000
29,24,62,4000
84,25,70,3500
56,12,71,1400
22,5,52,2100
82,13,74,2400
86,34,79,1700
98,20,68,2200
22,28,56,800
18,30,65,700
105,46,66,3600
30,1,61,200
26,14,69,3700
29,43,66,1600
105,36,80,1200
50,34,51,700
75,5,56,3100
24,4,77,1600
19,47,55,3400
85,50,62,4000
93,27,67,2000
34,40,66,3300
94,28,54,2200
60,3,54,3400
90,50,75,2300
53,50,76,2900
35,16,66,1200
69,50,60,2100
11,19,55,2100
26,20,52,3200
71,42,63,1400
29,34,63,3600
43,30,67,1700
21,22,59,2800
102,9,80,1800
19,17,79,0
28,41,71,2100
80,35,71,2700
102,20,61,500
47,29,74,2200
106,35,55,2000
105,18,54,200
31,43,60,3800
61,20,62,3700
77,19,80,3700
79,24,58,2000
74,49,58,100
66,39,74,2400
15,18,50,3900
15,32,76,3100
65,45,66,4000
57,11,53,3000
105,23,66,0
12,9,62,1200
53,50,53,3100
54,20,75,3600
25,22,57,1300
56,34,63,1200
22,30,55,1000
30,16,56,2400
16,35,75,3200
69,16,58,600
22,6,59,1400
40,50,76,2000
77,39,74,2400
59,47,53,900
99,27,50,3000
78,5,65,1700
73,3,69,1700
30,27,64,3400
109,36,60,200
85,24,72,800
59,15,61,0
105,4,80,0
55,13,58,1000
83,21,50,600
79,9,50,2300
98,27,68,700
104,9,61,3300
78,27,74,1800
38,15,70,2500
10,43,74,600
108,12,50,3700
19,31,80,1500
95,17,69,4000
48,49,50,1400
91,18,57,2700
85,12,70,2500
102,13,73,3000
45,6,74,3800
26,31,73,2000
71,26,61,3700
49,16,69,2600
59,46,77,1900
85,19,57,3300
27,19,66,2700
57,29,70,3400
53,11,61,1300
103,8,59,3800
68,11,51,3000
32,6,60,300
105,38,79,3800
106,36,59,3100
76,49,58,3200
81,50,75,2300
106,35,78,1800
17,32,73,1100
64,15,59,1800
29,18,74,3900
19,2,73,1900
23,12,61,1200
32,39,77,2500
90,26,69,1400
27,50,79,3800
82,40,67,3200
10,28,50,1300
60,13,61,1000
63,33,67,1800
64,30,66,1800
14,51,59,4000
45,13,57,0
61,25,61,2300
52,34,80,3700
105,26,51,200
28,6,69,3600
22,1,76,2000
63,25,58,1500
17,26,79,1300
56,16,51,3100
33,43,66,3400
65,26,78,1300
24,36,58,2000
43,15,77,2700
28,24,65,1900
77,31,67,3600
103,33,73,1600
14,45,72,2500
10,34,76,2500
35,26,61,3700
75,30,68,1000
88,23,59,500
18,11,66,1500
100,24,61,200
96,48,60,500
12,43,55,3600
43,22,59,1700
73,25,59,3100
83,29,71,400
80,37,51,2100
81,14,69,1700
93,52,75,2400
43,22,80,3500
47,22,70,300
67,19,69,200
18,13,69,3500
13,47,70,3200
33,42,66,1500
105,42,74,1700
32,36,68,300
78,18,52,1100
78,48,51,400
62,1,57,3800
47,16,62,1500
96,27,54,1100
59,46,72,3900
70,24,70,1300
23,24,59,200
12,48,64,1100
30,43,57,3200
54,35,65,3300
34,15,73,500
36,19,78,3000
26,27,53,2800
101,33,61,1700
98,39,65,3100
60,4,65,3600
36,8,57,600
95,3,74,2600
70,39,78,900
103,34,70,1000
28,9,65,2900
33,52,79,1500
36,35,78,2400
105,40,63,2300
65,40,67,300
36,27,60,700
78,31,55,1900
70,22,80,3400
75,27,50,500
16,7,76,4000
104,1,59,2600
46,39,58,3900
84,11,72,3500
69,8,65,400
104,29,60,1800
77,12,62,1800
91,34,66,2600
73,15,64,2400
88,18,51,100
19,22,77,3800
42,28,54,2200
46,16,65,0
102,9,64,1900
38,49,55,3100
33,22,51,2800
98,39,77,400
16,40,54,2600
71,30,68,2600
40,37,56,800
50,39,67,2200
80,11,51,1800
15,51,70,1300
48,15,66,2800
28,18,74,1000
36,28,66,100
100,12,77,400
87,47,67,2700
15,14,63,3200
81,38,64,3000
107,11,50,100
82,26,68,4000
96,48,69,600
79,13,60,1500
47,15,63,1700
41,37,72,1900
33,48,65,4000
23,5,60,3200
109,21,80,2600
85,22,75,2400
51,1,75,2100
82,31,53,3000
109,30,61,700
98,48,68,2100
81,17,80,800
98,23,57,2300
47,51,63,1300
50,34,57,3600
102,46,58,200
74,44,59,2500
90,38,63,3000
89,33,58,2100
91,20,54,1900
78,8,79,900
37,31,68,3400
102,17,70,3000
57,37,76,500
54,12,76,1600
43,30,80,300
31,10,54,400
18,30,69,3000
19,15,59,600
35,10,58,3400
79,17,71,2900
94,44,76,2300
44,4,80,1000
57,22,80,300
95,11,79,1300
101,31,68,3400
81,6,70,2700
22,8,61,2600
90,36,80,1000
78,52,53,3800
36,7,68,0
32,11,54,1400
99,38,55,3500
105,43,68,800
36,48,52,300
57,25,62,3600
14,26,54,3200
37,11,64,3800
102,32,54,3400
92,14,60,3200
26,35,58,700
51,5,59,2900
90,15,57,3600
56,6,54,300
94,21,51,300
43,36,53,1200
25,18,73,3600
68,13,62,3000
99,26,59,900
104,10,52,1100
20,50,53,600
46,14,77,3200
40,51,65,3400
77,43,80,3200
44,27,64,2700
52,34,53,1900
22,2,56,1700
36,22,55,4000
51,43,76,1000
75,15,71,1600
56,3,77,2400
97,42,73,2400
58,2,60,3400
71,44,62,2100
62,36,54,3300
50,28,66,600
17,1,64,300
23,7,56,3600
33,31,56,2400
108,10,68,2400
29,27,63,3500
44,22,63,1300
58,26,64,3300
21,51,51,2200
98,23,59,3000
50,25,66,2000
21,46,54,1700
24,39,61,3600
56,41,74,1000
15,4,74,2300
26,13,60,3400
27,38,76,200
61,10,70,1300
57,11,70,2400
82,40,54,3600
96,6,65,2800
60,24,77,400
85,41,64,2500
19,34,67,3100
50,44,79,500
17,43,78,900
28,4,68,1800
58,52,53,1100
49,43,53,2700
86,47,50,2600
97,37,75,1800
46,12,80,3600
37,51,67,1200
90,24,56,700
11,11,76,1900
24,44,78,3900
70,30,66,3500
89,44,59,1500
77,26,50,800
16,44,61,4000
99,45,77,3600
21,16,56,3600
53,3,70,2700
86,19,55,1300
65,32,79,1100
18,34,53,2900
68,45,68,1300
20,10,68,1300
44,10,65,1200
11,25,55,400
10,28,70,2500
13,34,54,3300
58,12,72,3700
67,27,68,500
79,15,65,600
108,44,68,1800
104,20,51,2200
49,27,51,3900
101,18,80,2100
72,49,73,2500
20,3,67,3300
68,42,59,2900
49,47,80,2000
40,13,58,3300
101,47,77,500
30,11,59,900
18,27,61,3200
99,31,51,200
17,51,61,2800
29,37,58,2600
15,25,52,4000
19,52,56,3400
39,27,71,1700
65,35,78,200
14,23,75,3000
59,1,53,700
38,12,56,1600
87,17,67,3100
55,11,64,4000
32,28,69,3600
67,41,72,3600
48,21,79,2400
82,31,80,400
61,7,54,3600
78,25,55,3800
45,2,66,2500
82,36,69,2700
60,4,65,2000
79,51,51,1200
12,49,71,2600
98,15,52,500
100,48,73,1600
96,26,68,2000
93,47,66,1400
109,2,77,2000
101,16,56,1600
87,34,80,600
52,15,50,4000
86,50,72,1700
40,18,79,2800
39,52,56,2600
78,31,78,2700
24,5,72,3000
49,26,75,600
87,16,63,3700
71,9,66,2600
72,9,69,3600
106,45,63,800
55,16,63,3800
95,52,73,100
61,48,58,1500
104,37,60,900
84,12,52,3500
102,50,65,3000
53,7,57,3100
91,32,66,3200
58,17,60,2300
41,35,51,1900
47,41,79,3500
34,17,52,3600
42,49,61,3500
13,28,60,1500
34,3,54,3400
23,2,69,200
102,17,75,3300
80,12,51,2400
48,19,79,1000
94,22,69,3900
19,37,65,3700
52,46,61,300
59,30,67,1000
18,50,75,3400
87,24,78,3500
29,25,61,200
63,37,75,1300
97,39,77,0
77,49,63,3000
34,46,73,3700
54,27,71,1800
